,predict data,true data
103,1143.9121,1145.9
104,1146.3705,1145.9
105,1147.9528,1151.0
106,1149.3713,1164.25
107,1152.2982,1176.7
108,1157.923,1175.85
109,1165.2109,1175.85
110,1170.8416,1175.85
111,1174.8562,1178.5
112,1177.4628,1189.5
113,1180.2234,1178.55
114,1181.9355,1205.05
115,1186.7559,1190.35
116,1191.3337,1190.35
117,1193.5339,1190.35
118,1194.4762,1203.0
119,1196.1122,1216.05
120,1200.2233,1214.75
121,1206.1572,1196.05
122,1207.0385,1200.55
123,1209.5768,1200.55
124,1207.4105,1200.55
125,1205.8191,1212.85
126,1205.8077,1216.8
127,1209.0128,1195.0
128,1210.7584,1189.7
129,1208.8701,1184.85
130,1202.9564,1184.85
131,1198.3458,1184.85
132,1194.0442,1192.8
133,1192.0009,1212.8
134,1195.9902,1203.65
135,1201.2216,1221.95
136,1205.9863,1215.2
137,1211.2964,1215.2
138,1214.8253,1215.2
139,1216.8892,1226.75
140,1218.948,1231.0
141,1222.3552,1242.1
142,1228.8278,1236.8
143,1232.3907,1228.3
144,1236.3124,1228.3
145,1236.0662,1228.3
146,1234.9774,1222.25
147,1232.4808,1230.75
148,1231.869,1224.4
149,1230.99,1240.55
150,1233.3937,1241.95
151,1236.2144,1241.95
152,1238.973,1241.95
153,1241.9043,1237.3
154,1243.3617,1233.2
155,1242.2792,1236.65
156,1241.8956,1247.9
157,1241.5619,1253.65
158,1245.3706,1253.65
159,1249.0525,1253.65
160,1252.4917,1257.2
161,1255.6436,1255.6
162,1257.3738,1240.4
163,1255.9325,1238.1
164,1252.7671,1226.5
165,1248.2212,1226.5
166,1242.9122,1226.5
167,1238.0006,1230.95
168,1235.1527,1216.65
169,1232.7582,1209.2
170,1229.154,1206.55
171,1223.5792,1202.65
172,1218.8436,1202.65
173,1213.7128,1202.65
174,1210.6207,1204.2
175,1209.0474,1204.6
176,1209.3334,1198.8
177,1207.7941,1229.35
178,1210.4084,1229.6
179,1215.8363,1229.6
180,1221.4857,1229.6
181,1226.4504,1232.4
182,1230.21,1241.6
183,1233.987,1249.05
184,1238.1348,1247.5
185,1241.0027,1247.5
186,1246.653,1247.5
187,1248.9845,1247.5
188,1250.2183,1257.55
189,1251.8842,1257.25
190,1254.0154,1251.1
191,1255.8921,1248.8
192,1256.6313,1244.85
193,1255.3029,1244.85
194,1253.4103,1244.85
195,1251.474,1247.25
196,1250.1913,1257.65
197,1252.1389,1245.8
198,1253.1642,1252.5
199,1253.7999,1266.45
200,1256.5424,1266.45
201,1259.9811,1266.45
202,1263.5392,1250.05
203,1264.0823,1252.9
204,1262.8749,1274.3
205,1264.6525,1284.15
206,1267.3308,1284.15
207,1272.9312,1284.15
208,1279.4124,1284.15
209,1283.7836,1284.15
210,1286.6984,1278.95
211,1285.6063,1279.05
212,1284.4016,1282.1
213,1285.0735,1281.85
214,1285.5085,1281.85
215,1285.5172,1281.85
216,1285.7074,1269.4
217,1284.3243,1267.8
218,1281.7175,1261.85
219,1277.4452,1262.8
220,1273.6104,1266.45
221,1271.3938,1266.45
222,1270.315,1266.45
223,1270.3113,1266.45
224,1270.9662,1255.45
225,1269.0298,1250.3
226,1266.237,1228.45
227,1259.3751,1228.05
228,1251.4863,1228.05
229,1244.53,1228.05
230,1239.1428,1229.8
231,1236.1731,1220.4
232,1234.0651,1222.95
233,1231.7389,1223.15
234,1230.6033,1231.25
235,1229.14,1231.25
236,1230.3147,1231.25
237,1231.9058,1233.3
238,1233.6768,1234.2
239,1235.6005,1257.4
240,1239.0627,1255.9
241,1244.7009,1252.0
242,1249.2874,1252.0
243,1253.2004,1252.0
244,1254.974,1258.85
245,1256.3948,1260.2
246,1257.913,1252.55
247,1258.0337,1256.95
248,1260.255,1265.05
249,1261.6174,1265.05
250,1263.2328,1265.05
251,1265.078,1265.05
252,1266.4918,1262.7
253,1267.8303,1266.2
254,1268.6141,1264.85
255,1268.0999,1274.95
256,1269.6582,1274.95
257,1272.4823,1274.95
258,1274.7664,1279.95
259,1277.2925,1293.5
260,1281.4021,1291.0
261,1285.4435,1273.1
262,1286.8949,1266.55
263,1284.4062,1266.55
264,1281.2894,1266.55
265,1277.1675,1266.4
266,1273.6835,1262.0
267,1271.216,1275.5
268,1272.4614,1254.55
269,1271.6765,1255.4
270,1268.2727,1255.4
271,1265.2119,1255.4
272,1262.953,1248.15
273,1260.3738,1242.2
274,1257.0967,1242.5
275,1253.4075,1250.8
276,1253.4008,1255.7
277,1252.3169,1255.7
278,1254.156,1255.7
279,1256.3334,1245.25
280,1256.9519,1249.55
281,1255.9803,1248.0
282,1254.3269,1243.5
283,1252.363,1242.25
284,1250.9197,1242.25
285,1249.6125,1242.25
286,1248.4539,1229.25
287,1246.1378,1223.75
288,1241.2944,1220.3
289,1236.9861,1224.9
290,1233.2222,1215.65
291,1229.3113,1215.65
292,1226.1522,1215.65
293,1223.9996,1211.9
294,1222.3654,1211.05
295,1219.6929,1218.8
296,1218.8444,1218.9
297,1219.1646,1230.3
298,1222.3502,1230.3
299,1225.1925,1230.3
300,1228.5938,1234.1
301,1231.7384,1240.75
302,1234.6667,1242.15
303,1237.6034,1238.7
304,1240.353,1248.55
305,1242.6742,1248.55
306,1246.1787,1248.55
307,1248.3756,1255.55
308,1250.7723,1254.4
309,1253.2722,1248.1
310,1254.7891,1261.1
311,1256.4894,1264.9
312,1258.551,1264.9
313,1262.1462,1264.9
314,1264.6161,1267.55
315,1266.6937,1270.95
316,1269.4515,1269.6
317,1271.0438,1268.1
318,1271.0968,1257.7
319,1270.9443,1257.7
320,1269.0028,1257.7
321,1266.4946,1258.0
322,1264.3589,1261.8
323,1263.6726,1271.05
324,1265.3964,1284.4
325,1269.8386,1286.1
326,1275.8182,1286.1
327,1280.5396,1286.1
328,1284.7218,1282.3
329,1286.7787,1270.3
330,1285.4797,1272.75
331,1282.7622,1285.15
332,1281.9991,1295.8
333,1284.9244,1295.8
334,1288.8406,1295.8
335,1292.9786,1292.9
336,1296.1271,1284.2
337,1296.424,1286.65
338,1294.1093,1289.0
339,1292.5433,1285.3
340,1291.8683,1285.3
341,1291.6066,1285.3
342,1290.9323,1285.3
343,1290.6427,1318.65
344,1294.7476,1308.5
345,1299.6383,1311.75
346,1305.4086,1320.4
347,1311.329,1320.4
348,1315.8452,1320.4
349,1319.1959,1333.1
350,1322.6613,1335.55
351,1326.1234,1337.85
352,1333.0914,1343.5
353,1336.471,1346.25
354,1340.6183,1346.25
355,1344.6267,1346.25
356,1346.8696,1334.2
357,1346.3756,1326.5
358,1344.3993,1327.55
359,1340.5881,1324.55
360,1336.593,1322.85
361,1333.4506,1322.85
362,1331.1283,1322.85
363,1329.694,1312.1
364,1327.8157,1309.6
365,1324.0548,1311.3
366,1320.6028,1292.1
367,1316.0293,1294.8
368,1310.6945,1294.8
369,1306.2076,1294.8
370,1303.2181,1293.3
371,1301.4674,1300.05
372,1300.4381,1282.55
373,1298.9243,1283.35
374,1297.081,1283.1
375,1292.8647,1283.1
376,1290.7311,1283.1
377,1289.084,1273.7
378,1286.9255,1271.25
379,1284.1228,1274.25
380,1282.7766,1274.5
381,1279.8496,1261.8
382,1277.3616,1261.8
383,1274.3438,1261.8
384,1271.6522,1278.75
385,1271.9603,1291.4
386,1275.1106,1289.25
387,1280.2756,1290.25
388,1285.9111,1299.6
389,1291.5494,1299.6
390,1295.0215,1299.6
391,1298.0284,1303.3
392,1300.0254,1284.75
393,1300.5482,1280.2
394,1298.391,1286.4
395,1294.7224,1281.2
396,1291.2946,1281.2
397,1289.3999,1281.2
398,1287.7142,1274.9
399,1286.0853,1276.45
400,1285.305,1275.0
401,1282.4934,1273.75
402,1280.6714,1266.45
403,1279.2057,1266.45
404,1276.5057,1266.45
405,1274.4883,1272.0
406,1273.8013,1270.15
407,1273.2488,1277.05
408,1274.6793,1279.2
409,1276.8629,1267.2
410,1277.6715,1267.2
411,1276.4087,1267.2
412,1274.9294,1270.9
413,1273.7792,1275.6
414,1274.409,1284.0
415,1276.349,1284.8
416,1280.2927,1284.3
417,1283.9934,1284.3
418,1285.4957,1284.3
419,1286.896,1277.95
420,1286.5679,1274.6
421,1285.045,1282.2
422,1284.0759,1280.0
423,1284.116,1284.35
424,1284.5979,1284.35
425,1285.584,1284.35
426,1286.7886,1286.2
427,1288.1199,1283.3
428,1288.2188,1286.95
429,1288.3214,1290.35
430,1289.9204,1290.5
431,1290.92,1290.5
432,1292.4646,1290.5
433,1293.4084,1294.9
434,1294.5825,1291.85
435,1295.5996,1283.85
436,1294.6267,1280.2
437,1292.7592,1275.5
438,1289.8088,1275.5
439,1286.4421,1275.5
440,1283.6208,1273.45
441,1281.4174,1266.3
442,1279.5238,1263.7
443,1276.792,1255.0
444,1272.5282,1250.65
445,1267.78,1250.65
446,1263.0828,1250.65
447,1259.739,1247.15
448,1257.2074,1240.9
449,1254.5228,1242.65
450,1251.765,1251.0
451,1251.1455,1254.6
452,1251.6649,1254.6
453,1253.3057,1254.6
454,1255.4105,1260.6
455,1257.9811,1260.35
456,1260.0823,1264.55
457,1261.7461,1264.55
458,1263.6866,1264.55
459,1265.8634,1264.55
460,1267.2432,1264.55
461,1267.8198,1264.55
462,1267.9506,1264.55
463,1268.4635,1279.4
464,1270.3212,1291.0
465,1275.3527,1291.0
466,1281.1433,1291.0
467,1286.4358,1291.0
468,1290.3657,1291.0
469,1292.7035,1312.05
470,1296.4048,1314.9
471,1301.128,1314.5
472,1307.2466,1317.15
473,1312.864,1317.15
474,1316.4332,1317.15
475,1318.6068,1319.95
476,1319.8639,1311.0
477,1319.1744,1319.75
478,1320.7227,1323.05
479,1321.8087,1326.8
480,1323.583,1326.8
481,1325.9982,1326.8
482,1327.985,1339.25
483,1331.0863,1333.85
484,1334.2151,1335.65
485,1335.4877,1332.2
486,1337.1238,1334.95
487,1337.8555,1334.95
488,1338.4004,1334.95
489,1338.4313,1332.6
490,1337.9788,1333.4
491,1338.7793,1353.7
492,1340.7941,1354.95
493,1345.3009,1353.15
494,1349.3904,1353.15
495,1353.1471,1353.15
496,1355.4725,1343.85
497,1355.386,1344.9
498,1353.466,1345.05
499,1351.1786,1341.35
500,1350.735,1331.15
501,1347.8154,1331.15
502,1344.2505,1331.15
503,1341.2646,1333.6
504,1339.4965,1331.4
505,1337.5315,1324.65
506,1336.1073,1315.45
507,1333.3574,1314.1
508,1329.5396,1314.1
509,1325.084,1314.1
510,1322.1772,1322.3
511,1321.3915,1325.35
512,1322.9573,1336.25
513,1326.6506,1352.45
514,1332.972,1352.1
515,1339.711,1352.1
516,1346.0126,1352.1
