,confidence(%),true data
725,6.504011275,6518.655
726,8.307781654,6522.39
727,12.05078212,6400.600833
728,13.14661485,6296.631667
729,10.26294247,6342.39
730,7.365352388,6418.562667
731,3.903380208,6669.990833
732,5.612523674,6756.12
733,9.083434991,6710.445
734,11.96875449,6639.304167
735,12.65146318,6583.45
736,13.35502757,6468.631667
737,9.956183427,6535.476667
738,6.25706844,6686.08
739,9.136960419,6550.474167
740,7.555474049,6593.135
741,7.399601605,6611.02
742,8.778039658,6562.641667
743,10.17589019,6470.4025
744,8.842242333,6483.73
745,7.14592732,6568.549167
746,7.10165464,6581.486667
747,7.304411622,6573.62
748,7.90420065,6618.567692
749,8.476894216,6621.711667
750,8.812372992,6626.85
751,15.11619994,6248.635833
752,11.27065498,6260.530833
753,8.035045743,6247
754,4.609167547,6299.399167
755,2.102595662,6452.571667
756,2.425702198,6599.17
757,6.02850379,6596.276154
758,9.152858446,6568.040769
759,10.97431429,6509.61
760,12.2011792,6488.825833
761,10.14775122,6531.601667
762,9.93234321,6504.78
763,9.593318529,6481.426
764,8.193941527,6508.31
765,7.954864612,6489.77
766,8.224861369,6473.753333
767,8.291114913,6465.9175
768,8.454770826,6457.21
769,9.452678168,6382.668333
770,9.464221788,6309.452857
771,8.237387977,6301.61
772,6.639553124,6342.280833
773,5.751330913,6387.674167
774,6.611549152,6390.42
775,7.547384764,6391.873333
776,7.560275226,6436.965
777,8.349558741,6437.76
778,7.579137898,6538.79
779,9.80182949,6486.251667
780,10.72567054,6444.97
781,10.79684918,6399.033333
782,9.863022728,6378.268333
783,8.292646584,6408.53
784,8.472762253,6372.063333
785,10.96334736,6176.155
786,15.83799226,5756.77
787,11.19979448,5596.1925
788,4.566816878,5558.243333
789,-0.737227267,5572.44
790,2.036690299,5303.9425
791,11.06534762,4671.97
792,3.114375088,4491.98
793,-9.470934997,4548.7975
794,-9.750377318,4309.3375
795,-12.37402955,4352.98
796,-0.86824231,3823.511667
797,-10.75584384,3920.536667
798,-12.25252871,3793.35
799,-18.56903042,4103.453846
800,-10.24096979,4263.783333
801,-1.132061052,4278.77
802,8.25395006,4116.7775
803,10.50909332,4167.546667
804,10.46971548,4140.6
805,16.79718642,3961.493333
806,14.3087315,3858.349167
807,12.90869804,3744.98
808,14.65049723,3405.643333
809,1.680826128,3435.34
810,-5.537454841,3453.66
811,-7.601355853,3523.96
812,-3.660432891,3426.19
813,-1.517794452,3407.28
814,1.672804521,3406.7625
815,6.906234468,3278.374167
816,6.572834986,3242.42
817,6.152772937,3271.238333
818,1.255937222,3392.405
819,-0.685195622,3556.54
820,-1.808315237,3808.0425
821,3.180332056,3982.850833
822,7.540059205,4135.19
823,19.59199908,3910.973333
824,16.76852704,4027.478333
825,17.09459552,3995.17
826,20.13700923,3813.88
827,14.61316383,3825.379167
828,9.811193816,3848.21
829,9.565380821,3743.905
830,2.117152139,3912.285833
831,6.19170777,3770.36
832,7.438379285,3791.545833
833,7.39189212,3752.271667
834,4.307845571,3855.88
835,6.713102801,3865.7975
836,9.033489771,3822.626667
837,8.239063402,3856.62
838,7.969325984,3920.456667
839,5.224900411,4036.093333
840,9.046096961,4032.25
841,10.69066606,4034.138333
842,17.70533462,3812.585833
843,18.01554146,3646.25
844,11.0703373,3646.345833
845,7.283513057,3599.841667
846,5.042443053,3531.96
847,-1.265506711,3656.785
848,0.320979758,3621.270833
849,2.303141029,3621.43
850,3.536438226,3632.395
851,5.326496973,3690.523333
852,7.845079846,3703.98
853,13.22075868,3548.4275
854,11.54751009,3540.02
855,8.397154356,3587.35
856,7.174895093,3566.4
857,6.506662563,3586.25
858,7.19137121,3577.79
859,7.66065085,3576.3
860,8.125210424,3554.5
861,10.65866816,3448.58
862,10.34729393,3421.6
863,6.500872095,3470
864,6.155445684,3444.81
865,5.272991886,3475.33
866,5.110293299,3506.22
867,8.095942573,3456.02
868,8.392672899,3452.35
869,7.848685841,3467.34
870,10.35465342,3405.7
871,9.587293957,3394.76
872,0.924944871,3661.08
873,5.319556791,3664.38
874,8.339274999,3686.29
875,12.45081445,3629.47
876,12.98152202,3632.42
877,12.69784341,3614.5
878,11.46646498,3600.31
879,10.14132314,3608.2
880,9.296176357,3619.55
881,6.087635456,3670.74
882,1.495353487,3910.8
883,6.01870375,3926.53
884,9.001598374,3987.18
885,13.20333908,3944.88
886,13.00160436,3983.48
887,9.271859187,4139.6
888,20.86457319,3766.89
889,13.70294406,3848.33
890,10.84086347,3831.45
891,7.002939939,3833.23
892,5.597968711,3850.08
893,5.835046798,3834.62
894,6.831358766,3831.44
895,7.465769834,3814.58
896,8.051130583,3730.98
897,5.962921404,3872.25
898,6.292126209,3876.85
899,7.539251577,3886.82
900,9.065520356,3875.96
901,7.659707773,3950.56
902,9.63854391,3928.17
903,11.25951599,3881.09
904,10.23798873,3892.51
905,10.50537124,3877.77
906,8.612588946,3885.21
907,7.010074204,3936.5
908,5.850436108,4015.95
909,8.582941715,3994.92
910,9.238312512,3998.77
911,9.290390493,4029.11
912,9.470749708,4056.4
913,11.51915587,3992.34
914,10.63601665,3999.06
915,9.552220916,4011.92
916,9.360668251,3994.11
917,9.842751131,3935.89
918,8.5029488,3947.74
919,5.40048222,4048.51
920,6.859050144,4037.37
921,6.025486365,4115.55
922,8.59027795,4114.44
923,9.911006025,4114.16
924,9.479681986,4152.53
925,-4.577804925,4882.88
926,3.996217685,4959.81
927,13.12250506,4911.24
928,14.47231675,5028.77
929,16.37172069,5053.52
930,13.75600434,5189.39
931,12.88930713,5268.71
932,15.81291527,5175.81
933,12.86413592,5310.18
934,16.57830593,5035.02
935,12.4328589,5072.85
936,10.43107505,5064.62
937,6.485562427,5152.51
938,9.058948988,5036.18
939,4.763044845,5196.65
940,5.65163468,5220.37
941,7.079826946,5276.31
942,8.097546626,5277.04
943,10.04482405,5309.28
944,11.04862777,5281.83
945,9.176779484,5377.19
946,6.96045756,5518.16
947,11.20843937,5434.19
948,15.67322975,5195.61
949,10.73376945,5292.83
950,9.035961194,5280.19
951,7.485593063,5301.29
952,7.887169895,5260.65
953,7.740538557,5269.79
954,6.434439079,5326.67
955,5.430864281,5390.16
956,2.88643478,5657.14
957,6.28491802,5771.08
958,10.93620462,5717.66
959,13.54543389,5684.47
960,12.20359699,5755.72
961,9.163260759,5936.72
962,7.251965008,6146.91
963,7.241603898,6348.02
964,-0.917843025,7248.31
965,12.02299807,6978.63
966,5.232282448,7823.11
967,10.65820568,7992.69
968,13.34065719,8206.9
969,21.30751358,7885.96
970,27.86808138,7362.22
971,22.23655186,7265.05
972,2.811364811,8193.7
973,5.843558349,8007.03
974,10.2507205,7952.5
975,13.84869918,7625.93
976,8.37769936,7880.29
977,5.899470228,8003.26
978,6.973823042,8071.45
979,2.270867287,8744.42
980,8.398904146,8770.06
981,11.10426787,8719.88
982,14.60943113,8662.98
983,19.32615984,8272.46
984,12.3697884,8553.81
985,10.01245004,8554.8
986,6.935737307,8739.03
987,15.63350797,8134.92
988,16.0695976,7675.8
989,7.375859729,7786.04
990,2.652986022,7803.23
991,-1.556523543,7998.29
992,2.632253809,7931.34
993,6.937529696,7640.61
994,1.781123181,8020.38
995,4.226914212,7917.58
996,4.70682078,8173.06
997,7.885751295,8237.88
998,4.632023912,8693.6
999,7.480147401,8859.47
1000,9.844939924,8978.99
1001,9.294703372,9327.48
1002,16.18632636,9076.18
1003,13.20347189,9281.7
1004,11.09623681,9531.35
1005,5.371136177,10209.38
1006,6.113788659,10668.63
1007,10.13473392,10814.48
1008,12.59156846,11017.5
1009,8.974704103,11766.4
1010,3.985239149,12932.55
1011,27.86135458,11132.85
1012,12.71433949,12374.35
1013,17.96682684,11890.38
1014,26.49394049,10737.73
1015,18.24172518,10578.72
1016,7.059252339,10805.4
1017,-6.347897879,11984.76
1018,4.775388187,11160.49
1019,4.469547458,10955.16
1020,8.203024127,11232.04
1021,3.025034536,11477.01
1022,-0.292479712,12313.08
1023,5.640379337,12586.78
1024,15.32376176,12099.9
1025,22.93262099,11352.87
1026,11.39474691,11803.97
1027,14.03371255,11389.1
1028,21.94164221,10186.96
1029,3.973915145,10873.5
1030,14.72238545,9397.72
1031,-2.18286321,9674.28
1032,-16.26294941,10638.56
1033,-8.384022504,10535.75
1034,-1.489741628,10764.9
1035,4.118658463,10587.41
1036,10.72710339,10323.62
1037,18.17750107,9844.3
1038,11.1015661,9772.17
1039,8.668838388,9875.17
1040,5.999796195,9848.65
1041,6.22691133,9473.99
1042,4.196619271,9530
1043,2.841991438,9501.33
1044,2.364646334,9589.13
1045,-0.558507272,10084.7
1046,2.269049428,10407.17
