,predict data,true data
317,2906.2144,2794.117717
318,2854.75,2790.0
319,2832.2874,3218.115017
320,2956.4126,3252.562533
321,3138.6912,3210.2
322,3284.7039,3457.3743329999998
323,3471.1228,3357.326317
324,3561.189,3340.28
325,3499.282,3632.506667
326,3539.6072,3852.802914
327,3618.9465,3868.52
328,3875.6082,4282.992
329,4106.7036,4217.028329
330,4269.2607,4179.97
331,4438.448,4328.725717
332,4430.676,4130.440067
333,4341.2847,4104.71
334,4300.678,4157.958033
335,4247.7695,4043.722
336,4145.117,3986.28
337,4141.075,4174.95
338,4128.977,4340.316717000001
339,4209.791,4331.77
340,4372.902,4360.513317
341,4460.45,4354.308333
342,4520.913,4339.05
343,4549.8438,4607.98545
344,4566.951,4594.98785
345,4599.552,4582.52
346,4686.6147,4911.740017
347,4841.889,4580.387479999999
348,4886.751,4585.57
349,4855.791,4344.098317
350,4708.013,4488.720139999999
351,4554.832,4385.02
352,4492.4336,4654.6585
353,4499.346,4310.750183
354,4493.086,4312.26
355,4534.416,4329.955
356,4465.7305,4248.090017
357,4415.8555,4198.59
358,4305.6055,3961.271267
359,4213.0444,3319.63
360,3908.3582,3216.43
361,3573.6394,3763.6260399999996
362,3359.2812,3746.060783
363,3385.1648,3678.53
364,3541.432,3943.413333
365,3792.2117,3977.5616670000004
366,4061.52,3894.48
367,4203.2,3637.50255
368,4000.4268,3776.3869
369,3827.7058,3777.62
370,3859.3674,3942.555
371,3860.8704,3910.307383
372,3887.0105,3881.0
373,3990.894,4201.98905
374,4134.0054,4193.574667
375,4264.2056,4164.27
376,4281.3735,4360.722967000001
377,4385.0327,4386.88375
378,4450.2295,4394.07
379,4537.129,4225.175
380,4495.7197,4338.852
381,4422.1636,4318.58
382,4444.562,4376.191667
383,4429.0522,4602.280882999999
384,4480.2505,4605.66
385,4627.616,4782.28
386,4787.5884,4819.485767
387,4933.4365,4822.17
388,4972.1177,5563.8065670000005
389,5210.8374,5739.438733
390,5508.445,5825.99
391,5806.8955,5711.205867000001
392,6036.1377,5603.712939999999
393,6015.1064,5594.66
394,5931.4824,5727.6335
395,5792.516,5979.4598399999995
396,5734.0312,5986.44
397,5968.343,5983.18455
398,6123.9585,5876.079867
399,6204.414,5900.59
400,6172.7285,5669.622533
401,6028.8105,5893.138417
402,5920.7812,5889.82
403,5902.227,5776.69695
404,5938.652,6155.434020000001
405,6044.545,6136.49
406,6195.169,6388.645167000001
407,6367.895,6665.306683
408,6618.5225,6751.98
409,6784.888,7197.72006
410,7108.215,7437.543317000001
411,7397.7393,7365.99
412,7536.2305,6989.071667
413,7615.8516,7092.127233
414,7443.2563,7128.64
415,7317.8735,7158.03706
416,7244.3853,6719.39785
417,7071.5073,6569.22
418,6930.764,5716.3015829999995
419,6565.192,6550.227533
420,6314.6123,6493.63
421,6214.2305,7301.4299200000005
422,6544.995,7815.0307
423,7215.45,7868.77
424,7944.793,7817.140383
425,8327.729,8007.654067
426,8486.515,8049.72
427,8121.0854,8059.8
428,8293.678,8268.035
429,8181.8125,8236.72
430,8360.937,8250.978333
431,8495.409,8707.407267
432,8638.162,8768.8
433,8797.428,9718.29505
434,9238.07,9952.508820000001
435,9764.41,9919.0
436,10171.696,10147.372
437,10492.166,10883.912
438,10743.472,10879.88
439,10930.958,11332.622
440,11278.188,11584.83
441,11488.266,11591.22
442,11939.851,13540.98
443,12574.538,16501.97167
444,13959.892,16860.88
445,15643.134,15142.83415
446,16771.209,14869.805
447,16605.377,15068.95
448,16128.73,17276.393330000003
449,15934.65,16808.36667
450,15867.555,16252.31
451,16449.514,17771.9
452,17630.52,19498.68333
