,predict data,true data
168,1326.0204,1279.5
169,1325.1119,1157.3933
170,1280.5193,1192.469143
171,1229.1769,1192.09
172,1201.1104,1179.159875
173,1185.0928,1227.494625
174,1194.5366,1227.68
175,1218.6571,1245.370786
176,1252.7684,1257.399625
177,1288.2495,1257.0
178,1289.0593,1091.171888
179,1254.6042,952.2323625
180,1149.0494,967.69
181,1026.7795,1049.0844880000002
182,959.5885,1118.630043
183,968.41254,1113.0
184,1028.341,1038.789
185,1084.004,941.9197142999999
186,1090.799,927.93
187,1038.2511,956.7863125
188,961.9667,1037.22925
189,945.3109,1041.04
190,978.2706,1040.5755
191,1032.6346,1037.90455
192,1080.6047,1034.74
193,1098.0051,1086.9295710000001
194,1091.95,1099.169125
195,1095.8728,1079.99
196,1104.7141,1141.600363
197,1137.9713,1133.079314
198,1159.8372,1133.53
199,1171.8823,1190.45425
200,1187.9354,1181.149838
201,1200.3671,1184.03
202,1220.1722,1207.744875
203,1232.6432,1226.617038
204,1237.9934,1219.09
205,1256.5808,1180.023713
206,1246.7284,1185.260057
207,1227.4735,1170.36
208,1215.1895,1186.9274130000001
209,1200.9226,1205.634875
210,1200.7269,1176.97
211,1205.7633,1217.930088
212,1221.8079,1241.686325
213,1245.7987,1236.63
214,1261.4663,1261.311225
215,1281.039,1257.988113
216,1290.8335,1240.84
217,1293.6654,1279.414688
218,1299.722,1309.109875
219,1305.3433,1288.02
220,1321.1567,1331.2944289999998
221,1342.0712,1334.9790380000002
222,1358.5944,1333.0
223,1374.592,1417.1728130000001
224,1400.5004,1452.076288
225,1434.6707,1447.55
226,1476.7258,1508.292125
227,1521.2941,1533.3350710000002
228,1550.4185,1518.75
229,1578.0272,1535.8684289999999
230,1583.7125,1640.619225
231,1602.6106,1651.1
232,1654.4966,1762.88625
233,1722.6906,1820.9905629999998
234,1793.7993,1829.0
235,1870.2726,1771.920013
236,1896.2388,1776.3165
237,1872.4119,1780.0
238,1837.7871,1739.031975
239,1814.5496,1807.4850629999999
240,1792.035,1783.98
241,1803.4851,1961.520488
242,1867.8851,2052.909788
243,1978.4152,2008.84
244,2061.9575,2090.662313
245,2133.7593,2287.7102879999998
246,2226.5303,2256.32
247,2284.168,2387.206286
248,2371.283,2211.976857
